    0,10        98,54
    0,20        98,67
    0,30        98,58
    0,50        98,44
    0,60        98,68
    0,70        98,32
    0,80        98,54
    0,90        98,41
    1,00        98,11
    1,10        98,30
    1,20        98,48
    1,30        98,22
    1,40        98,26
    1,50        98,38
    1,60        98,05
    1,70        98,12
    1,80        97,99
    1,90        98,03
    2,10        97,99
    2,30        97,45
    2,50        97,13
    2,70        97,61
    2,90        96,98
    3,10        94,28
    3,30        91,60
    3,50        88,08
    3,70        84,61
    3,90        79,99
    4,10        68,81
    4,30        57,13
    4,50        47,07
    4,70        38,94
    4,90        32,42
    5,10        26,78
    5,30        21,99
    5,50        18,28
    5,70        14,83
    5,90        12,35
    6,10        10,33
    6,30         8,34
    6,50         6,92
    6,70         5,66
    6,90         4,81
    7,10         3,86
    7,30         3,13
    7,50         2,53
    7,70         2,01
    7,90         1,64
    8,10         1,40
    8,20         1,20
    8,30         1,02
    8,40         1,14
    8,50         0,86
    8,60         0,76
    8,70         0,54
    8,80         0,73
    8,90         0,50
    9,00         0,44
    9,10         0,57
    9,20         0,48
    9,30         0,38
    9,40         0,30
    9,50         0,29
    9,60         0,24
    9,70         0,19
    9,80         0,19
    9,90         0,28
   10,00         0,15
   10,10         0,03
   10,20         0,26
   10,30         0,36
   10,40         0,03
   10,50         0,09
   10,60        -0,18
   10,70        -0,08
   10,80         0,04
   10,90        -0,13
   11,00        -0,04
   11,10         0,08
   11,20        -0,01
   11,30         0,05
   11,40        -0,06
   11,50        -0,07
   11,60        -0,08
   11,70        -0,15
   11,80        -0,10
   11,90        -0,03
   12,00        -0,02
   12,10        -0,07
   12,20        -0,10
   12,30        -0,07
   12,40         0,12
   12,50         0,06
   12,60        -0,26
   12,70         0,04
   12,80         0,08
   12,90         0,08
   13,00         0,10
   13,10         0,73
   13,20         1,23
   13,30         2,00
   13,40         2,64
   13,50         3,79
   13,60         4,94
   13,70         6,52
   13,80         7,67
   13,90         8,77
   14,00         9,70
   14,10        11,20
   14,20        12,61
   14,30        13,86
   14,40        15,23
   14,50        16,37
   14,60        17,38
   14,70        18,91
   14,80        19,72
   14,90        21,26
   15,00        22,75
   15,10        23,91
   15,20        25,03
   15,30        26,04
   15,40        27,41
   15,50        28,45
   15,60        29,65
   15,70        30,73
   15,80        31,69
   15,90        32,67
   16,00        33,69
   16,10        34,99
   16,20        36,08
   16,30        36,84
   16,40        37,71
   16,50        38,71
   16,60        39,46
   16,70        40,13
   16,80        41,44
   16,90        42,09
   17,00        43,13
   17,10        44,38
   17,20        44,91
   17,30        46,03
   17,40        46,91
   17,50        47,80
   17,60        48,58
   17,70        49,26
   17,80        50,24
   17,90        50,96
   18,00        51,98
   18,10        52,42
   18,20        53,07
   18,30        54,20
   18,40        54,56
   18,50        55,39
   18,60        56,02
   18,70        56,12
   18,80        57,38
   18,90        57,90
   19,00        58,96
   19,10        59,45
   19,20        59,97
   19,30        60,71
   19,40        61,30
   19,50        61,96
   19,60        62,55
   19,70        63,16
   19,80        63,46
   19,90        64,10
   20,00        64,30
   20,10        65,14
   20,20        65,78
   20,30        66,40
   20,40        66,82
   20,50        67,50
   20,60        68,04
   20,70        68,31
   20,80        68,81
   20,90        69,60
   21,00        69,66
   21,10        70,11
   21,20        70,61
   21,30        71,32
   21,40        71,46
   21,50        72,01
   21,60        72,67
   21,70        73,36
   21,80        73,35
   21,90        73,85
   22,00        73,86
   22,10        74,49
   22,20        74,61
   22,30        75,30
   22,40        75,46
   22,50        75,71
   22,60        76,15
   22,70        76,37
   22,80        77,16
   22,90        77,36
   23,00        77,51
   23,10        77,94
   23,20        78,58
   23,30        78,68
   23,40        79,04
   23,50        79,27
   23,60        79,66
   23,70        79,85
   23,80        80,12
   23,90        80,65
   24,00        80,86
   24,10        81,06
   24,20        81,18
   24,30        81,44
   24,40        81,42
   24,50        81,51
   24,60        81,66
   24,70        81,75
   24,80        81,81
   24,90        81,96
   25,00        82,03
   25,10        81,51
   25,20        80,97
   25,30        79,70
   25,40        76,51
   25,50        71,78
   25,60        66,71
   25,70        61,22
   25,80        56,20
   25,90        51,24
   26,00        46,32
   26,10        42,41
   26,20        38,68
   26,30        34,99
   26,40        32,04
   26,50        29,16
   26,60        26,53
   26,70        24,05
   26,80        21,77
   26,90        20,00
   27,00        18,03
   27,10        16,37
   27,20        15,16
   27,30        13,32
   27,40        12,22
   27,50        11,24
   27,60        10,12
   27,70         9,46
   27,80         8,28
   27,90         7,56
   28,00         6,80
   28,10         6,35
   28,20         5,58
   28,30         5,35
   28,40         5,01
   28,50         4,36
   28,60         4,14
   28,70         3,57
   28,80         3,41
   28,90         2,80
   29,00         2,60
   29,10         2,19
   29,20         1,93
   29,30         2,19
   29,40         1,53
   29,50         1,56
   29,60         1,47
   29,70         1,24
   29,80         1,19
   29,90         1,04
   30,00         0,78
   30,10         0,75
   30,20         0,79
   30,30         0,43
   30,40         0,52
   30,50         0,46
   30,60         0,45
   30,70         0,54
   30,80         0,32
   30,90         0,31
   31,00         0,42
   31,10         0,14
   31,20         0,29
   31,30         0,09
   31,40         0,27
   31,50         0,23
   31,60         0,02
   31,70         0,21
   31,80         0,11
   31,90         0,06
   32,10        -0,23
   32,30         0,05
   32,50        -0,04
   32,70        -0,20
   32,90        -0,05
   33,10         0,07
   33,30         0,02
   33,50        -0,14
   33,70         1,30
   33,90         4,14
   34,10         7,56
   34,30        11,69
   34,50        15,91
   34,70        20,59
   34,90        24,50
   35,10        29,34
   35,30        32,74
   35,50        36,98
   35,70        41,23
   35,90        43,85
   36,10        46,51
   36,30        49,44
   36,50        52,05
   36,70        54,84
   36,90        57,19
   37,10        59,27
   37,30        61,62
   37,50        63,42
   37,70        64,93
   37,90        67,64
   38,10        69,48
   38,30        71,17
   38,50        72,72
   38,70        74,58
   38,90        75,80
   39,10        77,23
   39,30        78,50
   39,50        79,57
   39,70        80,56
   39,90        81,73
   40,10        82,84
   40,30        83,82
   40,50        84,68
   40,70        85,75
   40,90        86,20
   41,10        87,08
   41,30        87,58
   41,50        88,19
   41,70        89,16
   41,90        89,59
   42,10        89,70
   42,30        89,90
   42,50        87,98
   42,70        79,06
   42,90        67,37
   43,10        56,54
   43,30        47,25
   43,50        39,15
   43,70        31,75
   43,90        26,60
   44,10        21,84
   44,30        18,08
   44,50        14,65
   44,70        12,25
   44,90        10,26
   45,10         8,33
   45,30         6,97
   45,50         5,59
   45,70         4,49
   45,90         3,69
   46,10         3,28
   46,30         2,47
   46,50         1,89
   46,70         1,73
   46,90         1,43
   47,10         1,28
   47,30         0,92
   47,50         0,92
   47,70         0,58
   47,90         0,69
   48,10         0,05
   48,30         0,32
   48,50         0,19
   48,70         0,22
   48,90         0,05
   49,10         0,07
   49,30         0,08
   49,50        -0,12
   49,70         0,07
   49,90         0,07
   50,10        -0,04
   50,30        -0,09
   50,50        -0,15
   50,70        -0,09
   50,90         0,96
   51,10         6,28
   51,30        12,47
   51,50        19,72
   51,70        26,91
   51,90        33,59
   52,10        39,92
   52,30        45,37
   52,50        50,00
   52,70        55,09
   52,90        59,51
   53,10        63,88
   53,30        67,63
   53,50        70,80
   53,70        73,61
   53,90        76,36
   54,10        78,95
   54,30        80,91
   54,50        82,68
   54,70        84,17
   54,90        86,09
   55,10        87,17
   55,30        88,61
   55,50        89,78
   55,70        90,59
   55,90        91,76
   56,10        92,97
   56,30        93,32
   56,50        93,97
   56,70        94,73
   56,90        95,13
   57,10        95,79
   57,30        95,98
   57,50        96,40
   57,70        96,89
   57,90        97,07
   58,10        97,68
   58,30        97,85
   58,50        97,99
   58,70        98,36
   58,90        98,34
   59,10        98,72
   59,30        98,63
   59,50        98,71
   59,70        96,21
   59,90        86,49
   60,10        74,06
   60,30        62,14
   60,50        52,07
   60,70        43,21
   60,90        35,64
   61,10        29,35
   61,30        24,48
   61,50        19,95
   61,70        16,64
   61,90        13,70
   62,10        11,29
   62,30         9,05
   62,50         7,53
   62,70         6,18
   62,90         5,18
   63,10         4,39
   63,30         3,50
   63,50         2,79
   63,70         2,33
   63,90         2,08
   64,10         1,56
   64,30         1,43
   64,50         0,84
   64,70         0,83
   64,90         0,65
   65,10         0,54
   65,30         0,30
   65,50         0,57
   65,70         0,32
   65,90         0,05
   66,10         0,03
   66,30         0,34
   66,50        -0,14
   66,70        -0,26
   66,90         0,03
   67,10         0,07
   67,30        -0,18
